Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
"Wuhan Golden Wing Industry & Trade Co., Ltd","Supplier of agricultural products & foods, chemicals, textiles, and castings for various industries. ",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Other,Asia Pacific,Mainland China,,Wuhan,http://www.golden-wing.com.cn,2000,Xin Sun,Screen Shot 2021-01-20 at 2_07_48 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Fae8v9nrzENi71ZgyPwotw/mtCnGxUc177Ww0QxAN86TWCJsohUiImfrC3hhtVgnvCg_jnIVW3i1w4npbmvYyOHI84ftEmDbm1i51bRyPCkMGDzkxJxiRZbUrYdLwlrrfGFYp4kCWpRgmKgeLv2Du2b/4dKveBY3WacgYazj3QEtetyTQvpUxDMCWhqsViD2aCI)
"Linyi Shansong Biological Products Co., Ltd","China-based global supplier of soy protein to be used as ingredients. 
 ",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Soy,Asia Pacific,Mainland China,,Linyi City,http://www.shansong.com,1995,Tingjian Hu,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/JlW2BVnDKxl7EtrYh3mqew/zGAtHa-DkzS_Hq6FB76sSt7BXK_6VPLCRQDp03MsLJrdzF_JP1Ra_gtnWrGc3qAPhHakR-i8SZPnvp8KAst_XdD3ZMrNmWXC6TUgnJwjnZE/RK2Nm8QmHdEJ8qUsXouen01TmnJivW7usnlW5zgv_n8)
Prinova,"Provides  high-quality ingredients, flavors and value-added solutions to the food, beverage and sports nutrition industry",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Rice,Sunflower,Mung Bean",U.S. and Canada,United States,Illinois,Hanover Park ,https://www.prinovausa.com,1978,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DlyR8m6HL_BevcShRPYSxA/qCUZ_BLBaj92Klo0-V7QJ4esF_PtZzhhgFp0uFoCm7fRkNtZbE6nRuliw0VufQ670stBLxzmnkpt0UL1I4iOr_2Xu-bDaV_kohAQtDMKEkI/z9Q1ysa-qRWbgna2DvG-fm9xVyUX08NxqejGu1JP_ho)
Ingredion,"Makes sweetness, starches, nutrition ingredients, and biomaterials that are used in everyday products from foods and beverages to paper and pharmaceuticals. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Pea,U.S. and Canada,United States,Illinois,Westchester,https://www.ingredion.com,1906,,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ZLTRveDomSb4qhhjE6MEaA/CnAjJBpzmHAvUYC6pqYBrqWFQ_n9KOOYzqNaWMT5hKinukM61gH0bkJK1zCXA9foByi4F91VxKp6iT7NsR-M03hLXOBAqs8a9TgOKimanPs/oAgfTUP9Q6HVc958TCrBxf77BIHUj7MPcN_mP0qI-NA)
MGP,"Leading supplier of premium distilled spirits, and specialty wheat proteins and starches to startups and global corps. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Wheat,Pea",U.S. and Canada,United States,Kansas,Atchison,https://www.mgpingredients.com/,1941,,Screen Shot 2021-01-11 at 5_53_35 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/AQ7SkJ_ENxqcdcKN-dOjrg/_56sQMDEu-YfeMANO4pKf6rv3Ix3LqoSulZ7slqeNpqV0lJJloyj8eJdVOG8SZ0GM-tWu_2l_X87kR9aSsui16Pb9S4sddKJ7ErhJ0loCVpnaNGdkzxLaKHW9ksrbrhU/JUlrLXvWeXRYxbBXSiOfc6Zj_PmZbd9M76Z-sWierfY)
Healthy Food Ingredients,US-based supplier of specialty ingredients. ,Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,"Flaxseed,Grains,Seeds",U.S. and Canada,United States,North Dakota,Fargo,https://www.skfood.com,2013,,Screen Shot 2021-01-20 at 2_39_10 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/HU_6kYrMtwa_tutD3UVwUQ/VCESsvYD13_tVnSzrB9b5QJc0gd3qlsoai60uHboFyrQhysAO5Tx7wrc9UMuFmXkmXrokp47KJtSzWPc8rKMf4-7HpX4H_wo4o4Xg5kUewHjv8fcauAnrJyPWyWzi5-c/Q8IlmmGBRR4BAzTRKBq4ebcjQn68R3xzV5g9aVvct_8)
SOJA AUSTRIA,Austrian producer of soy-based ingredients for food manufacturers. ,Plant-based,Ingredients and inputs,Ingredient optimization,Other,,Soy,Europe,Austria,,Vienna,https://soyaustria.com/en/,1752,,Screen Shot 2021-02-11 at 10_33_33 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/xv4i-z1hy7-U002_1HP2ag/05JLV3IdxGrzZqXXqKmtN5ly3DEoaEk7H0oFA2-xmknxcoTMC-Mw15luLcRTf4W2b7MKUQJswafszBHDIIcdjuiHn6-GcWLVSxUfW5HcnCca7BAvdFIszc8J_PvqrjSz/V31jOO_a1eaZ4JqFBnr3fEDEWmccMJB54eDZLc3yZKY)
Royal DSM,"Netherlands-based company focused on making food healthier and more sustainable, including supplying ingredients and support for plant-based protein alternatives. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Yeast,Europe,Netherlands,,Heerlen,https://www.dsm.com/corporate/home.html,1902,,logo-dsm.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/4boXrzufL8eiQeUSjV4HOg/RpgtFQYz5jKoJnzh-44XSYEZKlfZDYdGsb2PV4OsE3eal0N9jceC0HNNmTDXf6kseulGMMlOxgkr1-scFawjmERRi8xthGHwXiIGSuW4_-A/_PU3A_2KFzg-q8_PYxnGiQYLO_VA107uykVgCNyJh-g)
Nexcel Natural Ingredients,Integrated distribution sight for a variety of Non-GMO and expeller-pressed natural oils. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Canola,Sunflower",U.S. and Canada,United States,Illinois,Springfield,http://www.nexcelfoods.com/,2000,,Screen Shot 2021-01-11 at 6_35_04 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Ji7lLf6nFuXc4eKgdR2aMw/09sXrRDwX-SDaqXQSkqsSJYNm9rw2zBpBUEY1A-j7QDGtTqZxyJDqlYtAdn7KH3eSrsGymINnexvjPfhGft1C5J3OZc9paQJoKTnL_FaxtTg_DeBuRYJ9os3DGMb9-IJ/f4bHzoO7vkKMiWRvphwUyTKp7dRw8IUrxTAnIcmeAr4)
ADM (Archer Daniels Midland),Large global ingredients company. Sells various plant proteins. ,Plant-based,Ingredients and inputs,"Ingredient optimization,Crop development",,,"Soy,Pea,Wheat",U.S. and Canada,United States,Illinois,Chicago,https://www.adm.com/,1902,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/MupNk0-mKdwMJjiyVDyZTg/aSaoeyBINSsMC91lVf5cpc48gd_8J1AWh9x6T3peQuVGTHKt_FehH3VWH_Us3WiqNnSXhSdRVOSmVD-Rsy9tsmguD4R4Tu9waR9as70AnXE/uHuTucnHQtC1v2dx0Yw0-z2iaItJYUR-lQm4jkC2Vig)
Parabel,Developed a new way to optimize the nutrition found in water lentils. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Water Lentil,U.S. and Canada,United States,Florida,Vero Beach,https://www.parabel.com,2013,,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/hxedVJpAvbRUJ-OuUCIOHw/6ZixsVhnhRMZwBXQ2KhTnZ2rUOxreCDnzrM7Hh6XEybTp85ef-hovnFU74FNrUW2fOIV9A3nU1yn6czfiLb-XDqc2MBurpLFWEAsrmBGans/LBMMTxaEhBzg7tr74CkD0xT2uTkWV9rZD1ehA6E0DBw)
América Pampa,Argentina-based company aimed at the  industrialization of soy protein,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,Latin America,Argentina,,Buenos Aires,http://americapampa.com/en/america-pampa-ing/,2009,,Screen Shot 2021-01-05 at 5_02_21 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Yg6KpCRgTPpO-bgfNmy2Lg/T-Y6sV4p-AXYigFf7ndJIWoFAhtHUCAjwoXKX4ViSakFacYNBOsHAsmkWuejORsXVEl4kNto2lG2WxRE0ChbInxct4X1M2cUoC0JFdHL90YmabZM3wR4ttIY2dbLgRrQ/tCOLg3MJCMTdNIDG9Yu-ZUlZI8qP25YydvVkbBzJrLw)
Vippy Industries Limited,Manufactures soy products. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,Asia Pacific,India ,"Dewas, India","Dewas, India",https://vippysoya.com,1973,,Screen Shot 2021-01-20 at 1_50_21 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/rBAeeMWPLysuqj22ul_kJQ/tTFCz8ZsVn6ZF_YvUms0m0aXdtP1ipczZ33hx4v93_1AiBerVjKBlwBcM7MbBeh2Zx9D6XHBL89DhQGpqNo7_pDoWQNc8JPUMC_w9DBhF2yoOTk421mTuFEtYwGfs6U0/J3kDOyMHiK6Jsp3-ck8G-5MfXv5D5GAKUMIUmNqsv3g)
"Anhui Ruifuxiang Food Co., Ltd.",Manufactures grain deep processing products.,Plant-based,Ingredients and inputs,Ingredient optimization,,,Grains,Asia Pacific,Mainland China,,Haozhou,https://www.ahrfx.com  http://wwf2666.en.b2b168.com/,2005,Liangdong Zhai,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Hwq9HPwUsBfIwlYf2XrfvA/gFwe9gFe50kdo-GpbH5B3RkrsRfxIO90WhfZTALNWBhlw84GJCAqyy7CSJ-Kdjr9LO5rTKdjFvKtK-m_Y0rlCoOhY1yIutKLHZRC9uMZvRE/tdkQAvELhAZaxHiv81KXwCd8pV76ebXprlhy8yFeshc)
Shijiazhuang Yuanchem Imp. & Exp. Corp. Ltd.,Chemical supplier of bariam chloride. ,Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Other,Asia Pacific,Mainland China,,Shijiazhuang,http://www.yuanchem.com,2006,Yuan Cheng,Screen Shot 2021-01-20 at 2_43_25 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/PWSsl8XSdu5bDcP06eGh-g/mn-WPonLB9M7opEW806lLnFm3b1g2QiuqWj1C9QcWATsciebVntI1mcyyVUJjEhYqZQUyrusK92s2alo6GMc3wuhTdIdy_AN-IBETxrBkZ4u18AQ9sSYOiob7I8Mhllq/KxUi_UwEGhfRc5wqISaSLWvptxoysrc0B1750YqStZI)
BI Neutraceuticals,Offers single ingredients and custom ingredient blends,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Hemp,Fava bean,Lentils,Rice",U.S. and Canada,United States,California,Rancho Dominguez,https://www.botanicals.com,1978,,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/56i1vjeGtfms2fkyZX6tEw/7ZojsNTHZLFTHExkjKCecgMNBH0mTzwSus4gvhM1JS5OcQgC17lKDnPO3M-SBFnPIKpk48AqxAgjIWOZpFVIAuLMX97TeI2NLIwnVgVi1-Q/H_lTyRFVDw83BYb9bem7-SmHH4U58pQvqkfp1kWKAjE)
Qingdao Free Trade Zone United,"Chinese producer and importer/exporter of food additives, natural and artificial flavor raw materials, and pharmaceutical and chemical raw materials.",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Other,Asia Pacific,Mainland China,,Qingdao,http://www.unitedint.com/en/Index.aspx,1998,Zhaoyang Xu,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/51ko76kh2SMM6UV2E0HafQ/t63pvaQnI-b14cMbTewrcLYHS0DHH7RGDe_mBPpL25G4cM0MMord_V_7rtvn6CPfOonZS4fi8C_ROu26TUvp2L9DiEIV2kWFNN4Nstvkb-0/PWHa3mqujjXWV1C1LBd6DjOalPtOKOqln38w-EHnwn8)
Manildra Group USA,"Supplier of wheat protein isolates, wheat gluten and starch to food manufacturing companies.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Wheat,U.S. and Canada,United States,Kansas,Leawood,https://manildrausa.com/,1952,Jack Honan,Screen Shot 2021-01-11 at 5_44_16 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/kZ0C7e6B55GcXexordCu9A/-wY-YNLmIcYZL8kYLV35_tNXZQ5X_JB2O5l3NArH0sVljGWLPd_WPvhrFbX8h6etRJRoYCk5VH0ud_IkRtz4XbQaEp59Y6EYSEymSi_aTbyDwVmGjxT6MDJNyxsGysmR/8RfeLGmznHgzJpKFniFYlxbC5UiG7Q5DTOsrYUXgIuM)
Avebe,Creates a plant protein for use in plant-based foods from potatoes,Plant-based,Ingredients and inputs,Ingredient optimization,,,Potato,Europe,Netherlands,"Veendam, The Netherlands","Veendam, The Netherlands",https://www.avebe.com,1971,,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/7JOzajWvCpnQJhEp-1_JVw/EIZfcimF5KnnVjTrHrteaoaB0vwHAavYcJv7cySza3olQ4X8QokWjyqIrwk7pwEfXdbkh0bLkZU6wfpiJYT6KQon_tc7N0GSB_V0dhIABQA/mZM4fzE12szeDYbLjSzzNikD-m4GpQKLDOgBt6xEw2M)
Tofutown,Producers of meat and dairy alternatives manufactured from plant sources,Plant-based,Contract manufacturing/processing,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Pork","Soy,Wheat","U.S. and Canada,Europe",Germany,,,https://www.tofutown.com/,1998,Bernd Drosihn,Screen Shot 2021-02-11 at 10_34_59 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/WfpJefj3cD4UdG1ZWMl1Bg/4n_Z6-Ngt7S1iE5OCR_ddLbhthwVpkyy4j6I9-cj2LBYVOFmlnMLLN0T9Nb8Ie7W8uWd3QuoaZCAJ2N1-HSfy9hYjafu97KjzCrMXy-MJpnFewoYhNvCBBKZ9u6hPfoP/7QIh8K1nHX-ImohhK60Z3UnxqIRQ_Xn2rbtJXBg31SM)
Nestlé,Multinational manufacturer of food products that is working with Switzerland-based Future Meat Technologies to explore cultivated meat,"Plant-based,Cultivated","Contract manufacturing/processing,Meat,Seafood",End product formulation and manufacturing,"Ground meat,Milk,Whole muscle meat","Beef/veal,Chicken,Fish,Shellfish,Tuna",Soy,Europe,Switzerland,,Vevey,https://www.nestle.com/,1866,,logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ZjB2ImYO1rbmGjZpaO8vcw/O852JCEARLwXPs5OKLiGmVRH9QVF6aZYLHCju1oS_EcjyH8AQH7b6u4IpCpOMv-iReQ0E9WFDH4yShcTqtNB7w/CdyByUilQ09YfPbnsYQgVJ9qOnwcD0AW53T77WtDh9o)
"String
  Bio","India-based producer of ""next-generation ingredients,"" including protein for Food & Feed (PROfit, PRO-DG, PROtyde)",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Ingredients,,,Asia Pacific,India ,,Bangalore,http://www.stringbio.com/,2013,Ezhil Subbian,Screen Shot 2021-02-11 at 1_04_15 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/sRy3zrH4cr5Q98MHYrARhg/SqFQznygYtaA2JQWzwCuopdLZKx8jJc7W1CI-Bvf2VQuRQwrGuy9odg0dex0dc3DgKPMc2oyTjh8BuA5t-o74bWNocWwziQaPOd5E4YLoC9Sf6dfPOhusiblIVq9Jl5H/wUbxD36FAUBXTK1R80jpFyGwHMoe4SIk7ANe6sPYbes)
"Vestkorn
  Milling AS",Norway-based producer of ingredients from peas and beans.,Plant-based,Ingredients and inputs,End product formulation and manufacturing,,,"Pea,Fava bean",Europe,Norway,,Tau,https://vestkorn.com/,1855,,vestkorn.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/AKVQwSop747_j0TaPuhHZA/CrO-NujwA73Ca-NOpi35F2O452g4s05KRMhLGF7bODkCouDa1UJWNvQCWjctDW1mBtixTPUuuZ03uNOG9j90RkbsollXdr7mPaPN1M_7HyQ/qNzZuBoRRntto0cn0vNdqeq65MId4MF4HS5EgVh_T_k)
Rubinmühle,German company that produces various grain ingredients and proteins.,Plant-based,Ingredients and inputs,,Ingredients,,"Wheat,Barley,Oat,Other",Europe,Germany,,Lahr/Schwarzwald,http://www.rubinmuehle.de,1684,,rubinmuhle.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/LpH3UW-tVEtdS5QgFHxZ0w/w-VTz4R87_nktmaCc_FYjeBk0nrifThk3z5MFcQHZBUVecIJuSHziPDZteLw17Irh1ofe7062SxSzba0hYNp-GQ4nq7CKcDTzd6y5NjtJo0/0MVADxAptSTUhuZggm3LAePbtX2s9fn3lVRO1MfYTMg)
"Tereos
  S.A.",France-based ingredient supplier for a wide variety of industries.,Plant-based,Ingredients and inputs,,,,"Wheat,Potato",Europe,France,Nord,Lille,https://tereos.com/en/,1932,,tereos.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/PkLBs9j2AHaJM1GH-MLSVQ/HPGUyEu4YWXZw0ewvCzOndpYLFjC7lhuSA8Gey2sbJ1VBIGx33mGVUozIpU_EiJYr1SUocWdg96gbL5DTJ66m5NQtzVbgpA89kuF1MBEuCE/rUVLddEwDmI3UBJ-HKnIzBpaFPLDedRXO15aYnWFxvc)
Don Lee Farms,Supplier & co-packer of meat and plant proteins with decades of production know-how and culinary expertise,Plant-based,"Contract manufacturing/processing,Meat",End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken",,U.S. and Canada,United States,California,Los Angeles,http://www.donleefarms.com/,1982,,Don Lee.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/1gJpNH7T_yaxbYipXWt3Xw/L9MY3PiYTT6mz4YHjHa-02kmyQ_ZpPG97rnSI-rIF0ceZn0hZxIOFJxd1an-we4GTol1eMbuMsd566qzViy7KDBnnA9n7gFawtcgteNe4uo/By9-I5DTS6lom83FqCrJTBpKt807ohsLbtLa9aUPIYo)
Amano Enzymes,Global leader in speciality enzymes used to elevate products from plant milks and meats to pharmaceuticals ,Precision fermentation,"Ingredients and inputs,Bioprocessing infrastructure and equipment",,,,,,United States,Illinois ,Elgin,https://www.amano-enzyme.com/,1899,,AmanoLogo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/1vc1BOWHxgI-Se-6L7gvLw/RwWcmotQDlUdr-tqaPh94qi_zxlkkwmy6HBP5dNu1Ss8a0YGnw_0rWnKxfaI1YKJO_lhjlOgc0zHxKtYh7x-x8omR46lAgDLdJsgfcnVdMk/m8gE4nzF2JOWrSSRM7-Nu-DTgX8CcdPORZy6X9SSKfk)
All Organic Treasures Gmbh. (AOT),"German plant-based ingredient company, produces various plant-based proteins, oils, and fats.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Sunflower,Soy,Almond,Wheat,Rice,Pea,Oat,Coconut,Cashew,Hemp",Europe,Germany,,Wiggensbach,https://www.all-organic-treasures.com/food.html,2003,,logo-pages.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5JtneDaxnMaLlJtCaUYF7Q/fKipw6pvNdimTXT7kwyuUBzAyPUj9_R2KuVOIEsp-wZ93Nt2A8ejVLfndvi7lZnmVrATZb6aXKbGjrX5lk5076yikvbZammVAi9u9wtTq80/VMsmKb7SU-qobIXJRhg8-GRvXAzdRnZOh5l44BbWjKY)
Fuji Plant Protein Labs,Japanese company that produces semi-finished ingredients for use in plant-based products and provides co-man services.,Plant-based,"Ingredients and inputs,Contract manufacturing/processing,Dairy",End product formulation and manufacturing,"Cheese,Milk,Other",,"Mung Bean,Soy",Asia Pacific,Japan,Osaka,Izumisano,https://www.fujiplantproteinlabs.com/,2017,,FPPL-Logo-003.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/in4wCJp60dXGvKvawyZuzg/vLsjMMACvbfwFmEpslkSzNi-bM7r-mMl1ZzKFKpJpT42q8K5TvZKRb5HG-zHjcehXs9k7TvpHVgZZyTb6lNylqEMHhv95mHG3VnCBS8WRik/N7I9fK7ezuUB1meStoR4aXJiLZLBo0jVGmSW2p5cK8I)
Good Hemp,"UK-based company that produces plant proteins, plant-based milks, and CBD oils. ",Plant-based,"Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization",Milk,,Hemp,Europe,United Kingdom,,North Devon,https://www.goodhemp.com/,1998,,gh-logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/n2_hswhZZwxk4KSIig0qww/hbStCMNHQrC2J4rEi3pdi-Cip5g3wKdfkc4rEYXKzqSV1gcEHyIHGQUJ9U0cUmrZrqxzNIL2iu-K9P3aXsIHoolqq5z97Dm7G-fbbo_r5zk/wMTP5iZvCTEoetW19sU0mahP-oz5K6MmbsaX6_rVPiQ)
"Amêndoas
  do Brasil","Brazilian cashew supplier for plant-based dairy applications.
",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Cashew,Latin America,Brazil,,Fortaleza,http://www.amendoasdobrasil.com.br/,1992,,Amendoas.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/pGg1EEtUWatT6ZFFohny7Q/jnpFgzjwX4kW7uaMXbhzh_Hit5Mje482WElpHZCWvcDfAR-TssYWVLzTqcZ9n9O1TPAhGp7rqnIqqdWMlUbn_o9LhJkW34B3kysxSiXsGOc/lAKl2IQE31d_5DICNuAfc5vxNsqEjRy40ulq2fbadyQ)
"Biospringer
  AM Corporation",Biospringer is the historical yeast extract producer worldwide based in France.,Fermentation-derived,Ingredients and inputs,Ingredient optimization,,,Yeast,Europe,France,,Maisons-Alfort Cedex,https://biospringer.com/en/,1872,,logo-Biospringer.png.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/UyQtBOHTIMlClsWRTDnpww/493YRHcZ-i7H1wpnt6MPIip0uX4uUTQcuB7ftZYUdvg0o1UmIyPWsmhqloNT_-7YB47yOxvvEEmZYZqYMjn3iI7zrB2KAgg15BEYirmm01U/4wTPj4yWjZu6WlrOjUWl5kchDFLGvb6O6yfxc1h3hlc)
Sol Cuisine,"Produces veg-forward burgers & appetizers, falafel, and plant based meats (burgers, breakfast, chicken, meatballs, fish).  Expanding to US market.",Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other meat,"Fish,Chicken,Beef/veal","Soy,Wheat",U.S. and Canada,Canada,ON,Mississauga,https://solcuisine.com/,1980,Dror Balshine,solcuisine.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Cr-V6BU7gxB7k1dnVtk1YQ/3pYKezILlZoTrj3U2DP_kFOPzVeWxWm0a_cfg_nBZyrp9RFZTrarGEgkCt2wesyRl_qFYEaXcT50p3yD3e5VyXYP4PZFCsEM80Gl4ptspTc/P4KV-foM5F1Pm-mBbNMcDAHxl_rQIIH953owXnFVFM4)
Kinoko-Tech,"Offers an alternative protein based on mycelium from edible mushrooms, legumes, and grains.",Biomass fermentation,"Meat,Bioprocessing infrastructure and equipment","Target molecule selection,Bioprocess design,End product formulation and manufacturing",Ground meat,"Beef/veal,Chicken",Mushrooms,Africa/Middle East,Israel,,Rehovot,https://kinoko-tech.com,2019,"Jasmin Ravid, Daria Feldman, Hadar Shohat ",kinoko.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/sVxwNWo7v8fgzTWXI7mjgA/eX-acc8cPi2e0x2DjQiRJBt8JtGeJGBPyEo9jcffE5_e1ZVvgWl0vm_vyzshyqXZOfj4nYGkOpwzBcN5AMa5Ja9RA-mQVWMQBBDLKRtcSb8/VFQynVLmZmkpI6QUWEw-GLOuUK_8HAi5TPe8DvR3YLA)
Imagindairy,Produces animal-free dairy products and uses AI technology with systems biology to increase the expression of milk proteins in microflora.,Precision fermentation,"Dairy,Bioprocessing infrastructure and equipment","End product formulation and manufacturing,Bioprocess design","Milk,Cheese",Other,Other,Africa/Middle East,Israel,,,https://imagindairy.com/about/,2020,"Eyal Afergan, Tamir Tuller",imagindairy logo.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/n2d1g0jXN6F-kG4VRN_fbA/5JPEyzknrPMuNN82fprJLny-Oh9AKvQ_Z0UyZrZevdPhiho6URKzkLkRdewr_cH7uakS4GuTa2TXpJkx-o00AQHTfwVadyy4-FLt7lKOJYk/z7dL5BFJbfXk5fWOkqLMCpRyKJRJpyss7THMhbHKq08)
Redefine Meat,First company to develop a new additive manufacturing technology specifically for food printing.,Plant-based,"Meat,Food processing infrastructure and equipment","Scaffolding and structure,End product formulation and manufacturing",Whole muscle meat,Beef/veal,,Africa/Middle East,Israel,,,https://www.redefinemeat.com/,2018,"Adam Lahav, Eshchar Ben-Shitrit",redefineMeat.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/6dJUI7SdT0LQ1GVxfnjZeQ/H28Aj98fVn_7x3nfblcNK-CnFxATQFzJ73G-EGUHnW7GQCLCBOqlUAKuTkneIhTncIvvvnLel30ZRBzsOZt3qWlefMc042i3e8djCRUFB-U/mvsfD2F4IkoJwyVcvLMCLj_DinhGsRNMJs7EwiGq9kQ)
PlantArcBio,A gene discovery platform to improve traits underlying crop productivity.,Plant-based,Ingredients and inputs,Crop development,,,,Africa/Middle East,Israel,,"Givat Haim, HaMerkaz",https://plantarcbio.com/,2014,Dror Shalitin,PlantArcBio.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zRjRWzCEf6KJYC8es9835g/YafAmjmRuk7pMF96pXpgrs1A9zLk4mDDLsBdi_Z341eDY6uekbKnmJOuhaBa88JzlJ-N_8lZ_k5AsU_lR84mDwvdZAmQv2uY74Pb2_opn14/qXVnWgWkYNpPlef7HVXO9lZoaIhMR1zbMJ6CuthNOug)
Evogene,develops novel products for life science markets through the use of a unique CPB platform.,Plant-based,Ingredients and inputs,Crop development,,,,"Europe,Africa/Middle East",Israel,,,https://www.evogene.com/,2002,,evogene logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Y9E6nnjQ25O_KL2XwhQMqw/wJAV--3RZJroWT385IpEr6kwPHml_imdiMBjFg_BzSH0SYymjgaMc9tDiOMVfuXUTPC7yMLJsXhHEeNoduBQ-eVJJj7oOD-J3KSQqcB3fGI/Xmbze6Kg3MSBJh8wJaWJg0YcAtk2O0db4R4g82fDKxo)
Hazera Genetics,"Breeds, develops, produces and markets varieties and seeds in a wide range of vegetable crops around the world.",Plant-based,Ingredients and inputs,Crop development,,,,Africa/Middle East,Israel,,,https://www.hazera.com/,1939,,Hazera genetis logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GP_XRwK9uo-Xvi_GmlBXsA/mF7H7rXIV2T-pNsmUylDxuoFEe_Q6iKEYmWIgk1wzbWP_EK3qZTgCh1c9VRHiIhCv6rgGa6GcAU254emwEhB1E4eGizh154nBpdR9ENJOGA/NJWRlAHhw7Hvu3yCYqULIP0Ibc58LomYGn_pX_eM9WQ)
Equinom,Seed breeding technology company,Plant-based,Ingredients and inputs,Crop development,,,,Africa/Middle East,Israel,,,https://equi-nom.com/,2012,Gil Shalev,equinom logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/j1eqaaE64hWI4VU8cN96bw/QQgQmVV8jGYK--vlOFuNhKtyGd3pqMVSYy5zmdfH0950tfLi9BoSJuLRz22j5FAROMGe5tDGWQ1I5iXk-T9IBWUUK4gjtAcxwLPJ5U5Zf8k/E7lNS_tn3hS0yFOFOOydz4nlY3Y4PnX-iOSumPBVEnI)
